Age,Gender,EmploymentStatus,AnnualIncomeUSD,Country,BankAccountsCount,CardsCount,MonthlyTransactionRange,VictimOfFraud,FraudConcernLevel,TechComfortLevel,SecurityMeasures,ValuedFeatures,MonthlyWillingnessToPayUSD,SubscribeLikelihood,Challenges,Motivations,SatisfactionLevel,ResearchFrequency,AlertPreference,RecommendationLikelihood,TryWillingness,AdoptionBarrier,ProactiveVsReactiveScale,IntegrateWithAccounts
32,Female,Employed full-time,38146.81,Singapore,3,7,11-20,No,9,9,Transaction alerts,Detailed reporting,449.72,Likely,"Lack of transparency, Poor customer support",Trust & reputation,5,Weekly,Phone Call,7,Skeptical but open,Cost,6,Yes
35,Male,Employed full-time,47780.28,Australia,2,3,6-10,No,5,8,Transaction alerts,Real-time alerts,784.21,Likely,"Poor customer support, Lack of transparency","Trust & reputation, Cost savings",1,Monthly,SMS,10,Eager to try,Cost,7,Yes
20,Male,Employed full-time,86985.21,UK,3,3,0-5,No,8,4,"Transaction alerts, Biometric login, Credit monitoring",Insurance against fraud,1356.29,Likely,Fear of hacking,"Convenience, Innovative features",3,Quarterly,Phone Call,5,Eager to try,Cost,5,Maybe
29,Male,Unemployed,55420.45,UAE,2,3,21-50,No,7,9,"Credit monitoring, Two-factor authentication",Detailed reporting,708.13,Very unlikely,"Poor customer support, Complexity of security","Cost savings, Trust & reputation, Peer recommendations",6,Rarely,Phone Call,10,Eager to try,Trust issues,6,Yes
36,Male,Self-employed,58304.47,UAE,1,2,21-50,Yes,7,7,"Credit monitoring, Two-factor authentication","Personalized recommendations, Insurance against fraud, Detailed reporting",833.28,Unlikely,"Complexity of security, Lack of transparency, Fear of hacking","Cost savings, Innovative features",3,Rarely,Email,8,Unlikely to try,Complexity,4,Yes
23,Female,Self-employed,38188.74,Singapore,3,5,6-10,No,5,9,"Biometric login, Two-factor authentication","AI-based detection, Insurance against fraud",735.09,Very unlikely,Too many passwords,"Innovative features, Cost savings, Convenience",3,Quarterly,Phone Call,7,Eager to try,Cost,6,Yes
38,Male,Employed full-time,84649.59,Australia,1,6,0-5,Yes,7,9,"Transaction alerts, Biometric login, None","Detailed reporting, Real-time alerts, AI-based detection",1600.75,Neutral,"Too many passwords, Lack of transparency, Fear of hacking","Innovative features, Convenience",4,Quarterly,SMS,7,Eager to try,Cost,6,Yes
28,Prefer not to say,Student,46437.27,UK,4,6,21-50,No,6,8,"None, Two-factor authentication, Biometric login","Personalized recommendations, AI-based detection",687.96,Very likely,Poor customer support,Convenience,3,Rarely,Phone Call,9,Unlikely to try,Cost,9,Yes
32,Male,Retired,21662.7,USA,3,6,6-10,Not sure,8,7,"Biometric login, Credit monitoring","AI-based detection, Personalized recommendations, Real-time alerts",322.03,Likely,"Fear of hacking, Too many passwords, Poor customer support","Cost savings, Convenience, Peer recommendations",6,Rarely,SMS,9,Skeptical but open,Complexity,8,Yes
28,Male,Student,84290.29,Singapore,5,4,11-20,No,8,4,"None, Two-factor authentication","AI-based detection, Insurance against fraud, Personalized recommendations",733.67,Very unlikely,"Fear of hacking, Too many passwords","Trust & reputation, Cost savings, Convenience",3,Quarterly,Email,8,Wait for reviews,Cost,7,Yes
53,Female,Employed full-time,55201.31,UAE,2,6,0-5,No,9,8,None,"Detailed reporting, Real-time alerts, AI-based detection",962.12,Neutral,Lack of transparency,Innovative features,4,Quarterly,Email,8,Wait for reviews,Cost,8,Yes
34,Female,Self-employed,27838.45,India,1,4,6-10,No,7,8,Credit monitoring,"Detailed reporting, AI-based detection, Insurance against fraud",403.35,Very unlikely,"Poor customer support, Complexity of security, Lack of transparency",Trust & reputation,4,Monthly,Email,5,Eager to try,Cost,5,Yes
24,Female,Employed full-time,27236.25,USA,1,1,21-50,No,9,8,"Biometric login, Two-factor authentication","Detailed reporting, Personalized recommendations, Real-time alerts",473.74,Very likely,"Lack of transparency, Fear of hacking","Convenience, Peer recommendations, Innovative features",3,Quarterly,SMS,9,Skeptical but open,Trust issues,8,Yes
43,Female,Employed full-time,43388.31,India,5,3,21-50,No,6,6,Credit monitoring,Detailed reporting,645.09,Likely,"Lack of transparency, Complexity of security","Peer recommendations, Convenience, Trust & reputation",6,Rarely,Mobile App Notification,8,Skeptical but open,Complexity,8,Maybe
22,Female,Employed full-time,47949.85,UK,1,3,6-10,Yes,10,9,"Credit monitoring, None",Personalized recommendations,455.03,Likely,"Complexity of security, Too many passwords, Fear of hacking","Innovative features, Trust & reputation",3,Monthly,Mobile App Notification,6,Eager to try,Complexity,2,Yes
37,Male,Self-employed,40879.15,UK,6,4,11-20,No,6,7,"None, Two-factor authentication","Real-time alerts, Personalized recommendations, Insurance against fraud",320.58,Likely,"Complexity of security, Poor customer support","Peer recommendations, Cost savings",6,Monthly,Phone Call,9,Wait for reviews,Cost,7,No
18,Prefer not to say,Self-employed,43773.56,Singapore,1,4,6-10,No,9,5,"Two-factor authentication, Transaction alerts",Real-time alerts,269.4,Likely,Fear of hacking,"Convenience, Cost savings, Trust & reputation",2,Quarterly,Email,7,Skeptical but open,Trust issues,4,Yes
21,Prefer not to say,Employed full-time,100707.39,UAE,4,5,0-5,No,9,2,"Biometric login, Transaction alerts, Two-factor authentication","Real-time alerts, Insurance against fraud",1388.75,Likely,"Fear of hacking, Complexity of security","Convenience, Trust & reputation",4,Quarterly,Email,9,Eager to try,Cost,6,Yes
36,Female,Employed full-time,69073.46,USA,3,5,50+,No,8,9,"Two-factor authentication, Transaction alerts, None","Insurance against fraud, AI-based detection",639.67,Neutral,"Fear of hacking, Complexity of security, Poor customer support","Convenience, Peer recommendations",3,Quarterly,Phone Call,9,Skeptical but open,Cost,4,Yes
42,Male,Employed full-time,40716.2,UK,2,4,21-50,No,5,6,"Credit monitoring, None","Insurance against fraud, Personalized recommendations, AI-based detection",588.66,Likely,"Poor customer support, Fear of hacking, Too many passwords",Innovative features,5,Monthly,Phone Call,6,Wait for reviews,Lack of awareness,7,Yes
36,Female,Employed full-time,63881.58,USA,2,3,11-20,Yes,6,10,Biometric login,"Detailed reporting, AI-based detection, Insurance against fraud",375.61,Very likely,Fear of hacking,"Peer recommendations, Convenience, Cost savings",3,Quarterly,Email,9,Skeptical but open,Complexity,8,Maybe
33,Male,Employed full-time,19545.21,USA,2,3,21-50,No,9,6,Two-factor authentication,"AI-based detection, Real-time alerts",207.86,Unlikely,"Complexity of security, Poor customer support","Innovative features, Cost savings, Peer recommendations",2,Quarterly,Mobile App Notification,8,Eager to try,Trust issues,7,Yes
31,Male,Employed full-time,46108.67,UAE,3,5,21-50,No,7,4,"Credit monitoring, Transaction alerts","Detailed reporting, AI-based detection",410.75,Likely,Lack of transparency,Cost savings,5,Monthly,Email,8,Skeptical but open,Lack of awareness,8,Yes
20,Male,Student,107536.31,Australia,4,4,21-50,No,7,8,"Two-factor authentication, None, Biometric login",Insurance against fraud,1135.05,Neutral,"Poor customer support, Too many passwords","Peer recommendations, Trust & reputation, Cost savings",3,Rarely,Email,8,Eager to try,Lack of awareness,9,No
27,Female,Employed full-time,31862.1,UK,3,1,0-5,No,9,9,"Two-factor authentication, Biometric login, None","Real-time alerts, AI-based detection, Personalized recommendations",185.25,Likely,"Complexity of security, Poor customer support, Lack of transparency",Innovative features,3,Quarterly,Mobile App Notification,10,Eager to try,Trust issues,4,Yes
30,Female,Employed full-time,21838.28,UAE,4,5,6-10,Yes,4,2,"Transaction alerts, Credit monitoring, None","Detailed reporting, AI-based detection, Insurance against fraud",346.41,Unlikely,Too many passwords,"Innovative features, Convenience",3,Rarely,Mobile App Notification,8,Wait for reviews,Cost,9,Yes
45,Female,Employed full-time,24556.86,Germany,4,4,21-50,Yes,8,5,"Credit monitoring, Biometric login, None","Insurance against fraud, Real-time alerts",165.77,Neutral,"Fear of hacking, Too many passwords","Peer recommendations, Cost savings",4,Monthly,SMS,5,Eager to try,Complexity,6,No
38,Female,Unemployed,18886.83,Germany,2,3,11-20,Yes,9,6,Transaction alerts,"AI-based detection, Real-time alerts",98.51,Very unlikely,"Too many passwords, Poor customer support, Lack of transparency",Convenience,6,Quarterly,SMS,9,Skeptical but open,Complexity,5,Yes
18,Male,Self-employed,22677.83,USA,3,2,50+,No,7,5,"None, Two-factor authentication","Real-time alerts, Detailed reporting",435.29,Neutral,Poor customer support,"Trust & reputation, Cost savings",2,Quarterly,Email,7,Wait for reviews,Cost,4,Maybe
38,Male,Self-employed,29076.78,Australia,3,4,21-50,No,6,5,"Credit monitoring, None",Real-time alerts,229.51,Likely,Fear of hacking,"Trust & reputation, Cost savings",5,Monthly,Mobile App Notification,8,Skeptical but open,Complexity,5,Yes
31,Male,Employed full-time,15625.5,UK,3,4,50+,No,7,7,"Biometric login, None, Transaction alerts","Real-time alerts, Personalized recommendations",272.21,Likely,Complexity of security,"Innovative features, Cost savings",5,Monthly,SMS,8,Skeptical but open,Complexity,5,No
28,Prefer not to say,Employed part-time,36657.41,UK,5,3,6-10,No,7,3,"Two-factor authentication, Credit monitoring","Personalized recommendations, Insurance against fraud, Detailed reporting",713.61,Neutral,"Fear of hacking, Complexity of security","Innovative features, Peer recommendations",2,Monthly,Mobile App Notification,10,Unlikely to try,Cost,2,Maybe
41,Male,Employed full-time,62402.85,USA,2,2,21-50,No,9,10,"Biometric login, Credit monitoring",AI-based detection,811.97,Neutral,Poor customer support,Trust & reputation,2,Monthly,Email,9,Skeptical but open,Cost,7,Maybe
45,Female,Self-employed,21064.54,India,1,4,11-20,No,8,6,Transaction alerts,"Detailed reporting, Insurance against fraud",271.56,Neutral,"Too many passwords, Poor customer support","Peer recommendations, Innovative features, Convenience",4,Monthly,Email,7,Wait for reviews,Trust issues,6,No
44,Female,Unemployed,90361.21,USA,2,6,50+,No,3,9,"Biometric login, Transaction alerts, Two-factor authentication",Real-time alerts,949.81,Likely,"Lack of transparency, Too many passwords",Innovative features,2,Quarterly,SMS,10,Wait for reviews,Lack of awareness,6,No
26,Male,Self-employed,49339.25,USA,3,5,6-10,No,7,9,"Transaction alerts, None, Two-factor authentication","AI-based detection, Real-time alerts, Insurance against fraud",561.67,Neutral,Too many passwords,Cost savings,4,Monthly,Phone Call,9,Skeptical but open,Cost,5,Yes
31,Female,Unemployed,67396.5,UK,1,4,11-20,No,6,10,Two-factor authentication,"AI-based detection, Personalized recommendations, Real-time alerts",824.34,Unlikely,Complexity of security,Innovative features,3,Rarely,SMS,9,Skeptical but open,Cost,4,Maybe
38,Female,Self-employed,24472.35,Germany,2,5,21-50,Yes,9,7,Two-factor authentication,"Insurance against fraud, Real-time alerts, Personalized recommendations",178.19,Neutral,Too many passwords,Peer recommendations,2,Quarterly,SMS,9,Eager to try,Lack of awareness,6,Yes
44,Female,Employed full-time,60640.31,Germany,1,7,11-20,No,8,8,None,"Detailed reporting, Real-time alerts, Insurance against fraud",634.97,Likely,"Fear of hacking, Poor customer support, Lack of transparency",Peer recommendations,2,Monthly,Email,8,Eager to try,Cost,9,Maybe
30,Non-binary,Unemployed,18860.78,UK,3,5,11-20,No,8,5,Credit monitoring,Detailed reporting,325.19,Very unlikely,Complexity of security,"Cost savings, Convenience",4,Monthly,SMS,9,Wait for reviews,Complexity,6,No
33,Male,Employed full-time,61954.06,Germany,3,3,50+,No,7,3,"None, Two-factor authentication","AI-based detection, Personalized recommendations",479.27,Likely,"Poor customer support, Lack of transparency","Peer recommendations, Cost savings",2,Rarely,SMS,8,Eager to try,Complexity,5,Maybe
23,Male,Employed part-time,40259.59,Germany,4,3,11-20,No,9,7,"Biometric login, Two-factor authentication, None",Personalized recommendations,642.05,Very likely,Too many passwords,"Convenience, Cost savings",3,Rarely,Email,6,Eager to try,Cost,4,Yes
23,Female,Employed full-time,50612.34,UAE,1,3,21-50,No,6,6,Biometric login,"AI-based detection, Real-time alerts, Personalized recommendations",747.74,Unlikely,Too many passwords,"Peer recommendations, Trust & reputation",4,Monthly,Email,9,Wait for reviews,Complexity,6,Yes
43,Non-binary,Employed full-time,17937.4,USA,6,3,0-5,No,8,3,"Biometric login, Two-factor authentication","Personalized recommendations, AI-based detection, Detailed reporting",105.1,Likely,"Lack of transparency, Fear of hacking, Poor customer support",Innovative features,7,Quarterly,Email,10,Eager to try,Lack of awareness,5,No
48,Male,Employed full-time,21225.49,Singapore,6,3,21-50,No,9,4,"None, Biometric login, Two-factor authentication",AI-based detection,113.27,Unlikely,Complexity of security,"Cost savings, Innovative features",3,Rarely,SMS,9,Eager to try,Complexity,7,Maybe
34,Female,Employed full-time,51965.58,Australia,2,3,21-50,Yes,8,9,Credit monitoring,"Personalized recommendations, Detailed reporting",534.62,Very likely,"Too many passwords, Poor customer support","Convenience, Peer recommendations, Trust & reputation",6,Rarely,Mobile App Notification,6,Wait for reviews,Lack of awareness,6,Maybe
45,Female,Employed full-time,20557.71,Singapore,5,3,11-20,No,7,8,"Two-factor authentication, Credit monitoring","Detailed reporting, AI-based detection, Personalized recommendations",316.23,Very likely,"Poor customer support, Fear of hacking","Convenience, Peer recommendations",6,Weekly,Email,8,Wait for reviews,Cost,4,Maybe
38,Female,Employed part-time,47950.46,UK,3,2,0-5,No,7,7,"Two-factor authentication, Credit monitoring","Real-time alerts, Detailed reporting",477.41,Very likely,Lack of transparency,"Convenience, Peer recommendations, Cost savings",3,Quarterly,Phone Call,10,Wait for reviews,Lack of awareness,4,No
28,Male,Employed full-time,15989.98,India,4,3,11-20,No,7,8,"Biometric login, Two-factor authentication","Real-time alerts, AI-based detection, Insurance against fraud",240.11,Likely,Too many passwords,Peer recommendations,4,Quarterly,Email,8,Wait for reviews,Cost,7,Yes
38,Female,Employed full-time,60409.67,Singapore,3,2,0-5,No,8,9,Two-factor authentication,"Real-time alerts, Insurance against fraud, Personalized recommendations",905.05,Very likely,"Poor customer support, Complexity of security","Innovative features, Convenience",1,Monthly,Mobile App Notification,8,Skeptical but open,Cost,7,Maybe
50,Non-binary,Employed part-time,17335.05,India,4,5,0-5,No,10,9,"Transaction alerts, Credit monitoring","Detailed reporting, AI-based detection",296.4,Very likely,"Complexity of security, Poor customer support","Convenience, Trust & reputation, Peer recommendations",4,Rarely,Email,9,Eager to try,Cost,5,Yes
34,Male,Employed full-time,50583.46,USA,3,2,21-50,No,6,8,Biometric login,"Detailed reporting, Insurance against fraud, Real-time alerts",328.4,Unlikely,"Fear of hacking, Lack of transparency","Trust & reputation, Convenience, Cost savings",2,Monthly,Email,8,Eager to try,Lack of awareness,7,Yes
50,Male,Self-employed,52858.75,UK,3,5,6-10,Yes,5,6,"Biometric login, Transaction alerts, None",AI-based detection,721.89,Unlikely,"Too many passwords, Complexity of security","Peer recommendations, Cost savings, Trust & reputation",4,Monthly,Email,9,Skeptical but open,Trust issues,5,No
18,Prefer not to say,Self-employed,23907.25,Germany,3,3,6-10,No,7,10,Transaction alerts,AI-based detection,141.95,Unlikely,Fear of hacking,"Innovative features, Convenience, Cost savings",4,Monthly,Email,10,Skeptical but open,Complexity,5,No
43,Male,Student,51493.76,Germany,3,2,21-50,No,7,4,"Transaction alerts, Two-factor authentication, Credit monitoring","AI-based detection, Real-time alerts",393.37,Unlikely,Poor customer support,Innovative features,2,Monthly,Email,10,Eager to try,Complexity,8,Yes
35,Female,Self-employed,42457.78,USA,1,5,0-5,No,8,9,"Biometric login, None, Transaction alerts","Real-time alerts, AI-based detection, Personalized recommendations",419.59,Likely,Fear of hacking,Peer recommendations,6,Weekly,Email,9,Wait for reviews,Lack of awareness,5,Yes
32,Female,Employed full-time,26283.45,Australia,5,5,11-20,No,9,5,"Two-factor authentication, Biometric login","Real-time alerts, Detailed reporting, Personalized recommendations",410.31,Unlikely,"Lack of transparency, Complexity of security, Too many passwords",Innovative features,2,Rarely,Mobile App Notification,9,Eager to try,Lack of awareness,9,Maybe
35,Male,Self-employed,19828.33,UK,5,5,6-10,No,9,5,None,"Insurance against fraud, AI-based detection",388.8,Neutral,Too many passwords,"Peer recommendations, Cost savings, Convenience",8,Monthly,Email,10,Eager to try,Trust issues,7,Maybe
18,Female,Employed full-time,11186.07,Singapore,2,3,11-20,No,4,7,"Biometric login, None","Detailed reporting, Personalized recommendations, AI-based detection",113.4,Likely,"Complexity of security, Lack of transparency, Poor customer support","Peer recommendations, Innovative features, Cost savings",2,Monthly,SMS,8,Skeptical but open,Complexity,8,Yes
32,Male,Employed full-time,44792.23,UAE,4,3,21-50,No,6,6,Biometric login,"AI-based detection, Insurance against fraud, Detailed reporting",574.11,Unlikely,Lack of transparency,Trust & reputation,2,Monthly,Phone Call,7,Wait for reviews,Cost,5,No
38,Female,Student,14201.72,Germany,1,3,21-50,No,5,9,"Credit monitoring, None, Two-factor authentication","Insurance against fraud, AI-based detection, Real-time alerts",126.19,Likely,Too many passwords,Convenience,3,Monthly,Email,7,Skeptical but open,Cost,3,No
49,Male,Employed full-time,38453.56,Australia,3,3,6-10,No,9,8,"Biometric login, Two-factor authentication, Transaction alerts","Real-time alerts, Insurance against fraud",581.89,Unlikely,Poor customer support,"Peer recommendations, Trust & reputation",4,Quarterly,Email,7,Eager to try,Cost,9,Yes
29,Female,Student,31005.85,UK,1,3,0-5,No,6,2,"Biometric login, Two-factor authentication","Real-time alerts, Detailed reporting",325.52,Likely,"Lack of transparency, Complexity of security, Poor customer support","Trust & reputation, Convenience, Innovative features",4,Quarterly,Phone Call,10,Eager to try,Cost,8,Maybe
26,Male,Student,54583.43,Germany,4,6,0-5,No,9,5,"Biometric login, Transaction alerts","Personalized recommendations, Real-time alerts",667.22,Very likely,Complexity of security,"Innovative features, Trust & reputation",3,Rarely,Phone Call,9,Unlikely to try,Cost,6,No
29,Male,Unemployed,30296.05,USA,3,2,11-20,No,9,4,"Biometric login, None, Credit monitoring","Personalized recommendations, Detailed reporting",409.52,Very likely,"Lack of transparency, Complexity of security","Trust & reputation, Innovative features, Convenience",4,Quarterly,SMS,8,Skeptical but open,Complexity,6,No
44,Prefer not to say,Unemployed,29802.02,UAE,2,2,50+,Yes,6,4,"Biometric login, Credit monitoring, Two-factor authentication","Detailed reporting, Real-time alerts, AI-based detection",455.78,Very likely,"Lack of transparency, Too many passwords","Trust & reputation, Innovative features, Convenience",5,Monthly,SMS,10,Skeptical but open,Lack of awareness,8,No
38,Male,Employed full-time,56337.88,UAE,1,6,6-10,No,7,6,"Credit monitoring, Transaction alerts",Real-time alerts,332.44,Unlikely,"Too many passwords, Complexity of security","Convenience, Trust & reputation",4,Monthly,SMS,10,Wait for reviews,Lack of awareness,6,No
29,Female,Employed full-time,44401.78,Singapore,1,4,6-10,No,7,9,"Transaction alerts, None, Credit monitoring",Insurance against fraud,591.59,Very unlikely,"Complexity of security, Fear of hacking, Poor customer support","Innovative features, Convenience, Trust & reputation",3,Quarterly,Email,9,Wait for reviews,Complexity,6,No
40,Male,Employed part-time,43901.05,USA,5,3,6-10,No,9,5,"Two-factor authentication, Biometric login",Detailed reporting,503.43,Likely,Fear of hacking,"Convenience, Trust & reputation, Cost savings",5,Quarterly,Mobile App Notification,9,Wait for reviews,Cost,7,No
35,Female,Employed full-time,48125.17,Germany,3,5,21-50,No,5,8,"Credit monitoring, None, Transaction alerts","Personalized recommendations, AI-based detection, Insurance against fraud",337.19,Likely,Lack of transparency,"Trust & reputation, Innovative features, Peer recommendations",4,Quarterly,Mobile App Notification,9,Unlikely to try,Cost,5,Maybe
44,Male,Self-employed,14452.99,USA,3,3,21-50,No,9,5,Transaction alerts,"AI-based detection, Insurance against fraud",117.37,Likely,"Too many passwords, Poor customer support, Complexity of security","Peer recommendations, Cost savings, Trust & reputation",2,Quarterly,Email,7,Eager to try,Lack of awareness,8,Yes
27,Prefer not to say,Self-employed,57186.5,USA,4,4,21-50,No,7,10,"Two-factor authentication, Biometric login, None","Personalized recommendations, AI-based detection",1044.13,Unlikely,"Poor customer support, Fear of hacking, Too many passwords","Convenience, Innovative features, Cost savings",3,Weekly,SMS,10,Unlikely to try,Cost,5,No
31,Female,Self-employed,52442.95,UAE,6,4,21-50,Yes,8,5,Two-factor authentication,Insurance against fraud,947.99,Likely,"Complexity of security, Too many passwords","Trust & reputation, Innovative features, Cost savings",5,Quarterly,SMS,9,Skeptical but open,Complexity,7,Yes
31,Male,Employed full-time,19731.87,India,4,5,11-20,No,10,8,"Biometric login, Credit monitoring",Personalized recommendations,108.52,Very unlikely,"Fear of hacking, Poor customer support, Lack of transparency","Cost savings, Convenience, Trust & reputation",6,Weekly,Phone Call,9,Wait for reviews,Cost,9,Yes
20,Male,Employed full-time,31368.26,Germany,1,5,6-10,No,8,3,"None, Credit monitoring","AI-based detection, Detailed reporting, Personalized recommendations",481.22,Neutral,Poor customer support,"Trust & reputation, Innovative features",2,Monthly,Phone Call,10,Eager to try,Cost,6,Maybe
37,Male,Employed full-time,35469.05,UK,1,3,6-10,No,6,6,"Credit monitoring, Two-factor authentication",Detailed reporting,472.19,Unlikely,"Too many passwords, Lack of transparency, Poor customer support","Trust & reputation, Cost savings, Peer recommendations",3,Monthly,SMS,10,Skeptical but open,Cost,8,Yes
37,Female,Employed full-time,33500.04,USA,3,3,21-50,No,8,5,Credit monitoring,"Personalized recommendations, Insurance against fraud",639.76,Neutral,"Too many passwords, Lack of transparency","Cost savings, Trust & reputation, Innovative features",3,Quarterly,SMS,9,Skeptical but open,Complexity,10,No
35,Male,Unemployed,44369.87,Germany,3,2,21-50,No,8,8,Biometric login,Insurance against fraud,826.17,Neutral,"Lack of transparency, Complexity of security, Too many passwords","Convenience, Peer recommendations",2,Monthly,Email,8,Wait for reviews,Trust issues,8,No
